ID,age,residence,universityCollege,academicYear,inpersonRemote,credits,fulltimeParttime,gender,,housingSatisfaction,shareResidence,liveWithOthersWho,preferLivingAloneOrNo,liveWithHowMany,monthlyRent,,rentConcern,universityCostsPerSemester,,financialFreedom,,financialControl,,rentStressOccurance,,rentImpactMentalHealth,,currentWellbeingRent,,,,,supportiveOrNo,,socialHelpStressReduction,,,prioritizedPayingRentYesNo,,prioritizationExtentImpact,,rentPayingConfidence,,lastingImpactRent,,,,,,,,wellbeingScore
37,20,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),12-Jul,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,3,"$751 - $1,000",Extremely concerned,0,"$1,001 - $2,000","No, I feel very restricted",0,No control,0,Always,0,Extreme impact,0,Very Low,0,45720,Daily,10,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus,Negotiating rent or seeking roommate changes to reduce costs",Slightly effective,Yes,Extreme impact,0,Not confident at all,0,"Yes, significantly",0,I won’t be able to graduate if I cannot pay for housing/tuition,"Yes, from on-campus counseling services",Moderately effective,,3.75,83.33,0,26.88
38,Older than 23 years,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),More than 19,Full-time student,Man,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,No,,I prefer to live alone,0,"$751 - $1,000",Extremely concerned,0,"$3,001 - $4,000","Somewhat, I have limited freedom",5,No control,0,Rarely,7,Slight impact,7,Very Low,0,0,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Other (Please specify)",Not effective at all,,Moderate impact,5,Moderately confident,5,No impact,10,,"Yes, from both on-campus and off-campus resources",Moderately effective,No,30,90,75,57
39,18,Turner Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Non-binary,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,I do not pay rent,Moderately concerned,5,"$6,001 - $7,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Slight impact,7,High,7,45720,Several times a week,7,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Moderately effective,Yes,Moderate impact,5,Very confident,7,No impact,10,,No,,,51.25,73.33,85,64.63
40,21,Rented house (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,5,$501 - $750,Moderately concerned,5,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,High,7,45659,Daily,10,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Very effective,No,No impact,10,Very confident,7,No impact,10,,No,,,63.75,83.33,85,73.88
41,20,Pantzer Hall,University of Montana,Junior,In-person student (most classes on campus),More than 19,Full-time student,Man,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I have no strong preference,3,"More than $2,000",Not concerned at all,10,"$5,001 - $6,000","Somewhat, I have limited freedom",5,Moderate control,5,Never,10,No impact,10,Very High,10,45783,Several times a week,7,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,87.5,73.33,100,85.75
42,21,Elrod Hall,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,No,,I prefer to live alone,0,I do not pay rent,Moderately concerned,5,"$2,001 - $3,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Moderate impact,5,High,7,45720,Several times a week,7,"No, I do not feel supported",0,Slight reduction,3,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs",Moderately effective,No,,10,Moderately confident,5,"Yes, slightly",7,,"No, but I have considered it",,,61.25,33.33,60,52.63
43,21,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),12-Jul,Full-time student,Man,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I have no strong preference,1,$501 - $750,Not concerned at all,10,"$1,001 - $2,000","Somewhat, I have limited freedom",5,Significant control,7,Rarely,7,Slight impact,7,High,7,More than 6,Daily,10,"Yes, definitely",10,Extreme reduction,10,Budgeting carefully,Very effective,No,No impact,10,Completely confident,10,No impact,10,,No,Not effective at all,Nope,70,100,100,85
44,19,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,Yes,Roommates,I prefer to live with others,3,"$1,001 - $1,250",Extremely concerned,0,"$2,001 - $3,000","No, I feel very restricted",0,Little control,3,Often,3,Moderate impact,5,Average,5,45720,Several times a week,7,"No, I do not feel supported",0,Slight reduction,3,"Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Slightly effective,Yes,Moderate impact,5,Slightly confident,3,No impact,10,,"No, but I have considered it",Not effective at all,,26.25,33.33,65,36.13
45,20,Rented house (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,3,$501 - $750,Not concerned at all,10,"$8,001 - $9,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,Average,5,45659,Once a week,5,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships",Moderately effective,No,No impact,10,Very confident,7,No impact,10,,No,,,70,50,85,67
46,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,2,$501 - $750,Very concerned,3,"$4,001 - $5,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Moderate impact,5,High,7,45720,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,,10,Very confident,7,"Yes, significantly",0,,No,,,52.5,66.67,35,53.25
47,22,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45720,Several times a week,7,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs",Moderately effective,No,Slight impact,7,Very confident,7,No impact,10,,No,,,60,80,85,71
48,Older than 23 years,Craighead-Sisson Village,Missoula College,Freshman,In-person student (most classes on campus),6-Jan,Part-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,No,,I prefer to live alone,,"$1,001 - $1,250",Moderately concerned,5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Often,3,Extreme impact,0,Average,5,45659,Rarely or never,0,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus,Negotiating rent or seeking roommate changes to reduce costs,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Moderately effective,Yes,Significant impact,3,Moderately confident,5,"Yes, slightly",7,,"No, but I have considered it",,,45,26.67,60,42.5
49,20,Miller Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Non-binary,High (Mostly satisfied with minor problems or concerns.),7,No,Other (Please specify),I prefer to live alone,0,I do not pay rent,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Never,10,No impact,10,Average,5,45720,Once a week,5,"Yes, definitely",10,Moderate reduction,5,"Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Very effective,No,,10,Completely confident,10,No impact,10,,No,,"no, thank you",77.5,66.67,100,78.75
50,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Moderately concerned,5,"$2,001 - $3,000","Yes, I feel fully free to make spending decisions",10,Moderate control,5,Rarely,7,Slight impact,7,High,7,More than 6,Several times a week,7,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Very effective,Yes,Slight impact,7,Completely confident,10,No impact,10,,No,,,68.75,80,100,78.38
51,18,Miller Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Man,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Partner/Significant other,I prefer to live with others,1,I do not pay rent,Moderately concerned,5,"More than $10,000","No, I feel very restricted",0,Little control,3,Always,0,Extreme impact,0,Low,3,45659,Daily,10,"Somewhat, I have some supportive people",5,No reduction in stress,0,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Slightly effective,Yes,Significant impact,3,Slightly confident,3,"Yes, significantly",0,I’m taking out student loans just to stay on campus my freshman year. These loans will have an impact on me financially for years to come.,"Yes, from on-campus counseling services",Slightly effective,No,21.25,50,15,28.63
52,21,Miller Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Man,"Low (Some concerns about housing, but not overwhelming.)",3,No,,I have no strong preference,0,I do not pay rent,Not concerned at all,10,"More than $10,000","No, I feel very restricted",0,Little control,3,Sometimes,5,Significant impact,3,Average,5,45659,Daily,10,"Yes, definitely",10,Significant reduction,7,"Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Moderately effective,No,Moderate impact,5,Moderately confident,5,No impact,10,,"Yes, from on-campus counseling services",Very effective,,42.5,90,75,63.25
53,20,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,No,Other (Please specify),I prefer to live alone,0,"$751 - $1,000",Extremely concerned,0,"More than $10,000","No, I feel very restricted",0,Little control,3,Always,0,Extreme impact,0,Very Low,0,45659,Daily,10,"No, I do not feel supported",0,No reduction in stress,0,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Not effective at all,Yes,Extreme impact,0,Not confident at all,0,"Yes, significantly",0,Debt,"Yes, from on-campus counseling services",Not effective at all,It sucks :(,12.5,33.33,0,16.25
54,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Slightly concerned,7,"$1 - $1,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Moderate impact,5,Average,5,0,Daily,10,"No, I do not feel supported",0,No reduction in stress,0,"Budgeting carefully,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,No impact,10,Moderately confident,5,"Yes, slightly",7,,No,Not effective at all,,55,33.33,60,49.5
55,21,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),More than 19,Full-time student,Man,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,No,,I prefer to live alone,,"$1,251 - $1,500",Extremely concerned,0,"$3,001 - $4,000","No, I feel very restricted",0,No control,0,Always,0,Significant impact,3,Average,5,0,Daily,10,"Somewhat, I have some supportive people",5,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Slightly effective,Yes,Moderate impact,5,Slightly confident,3,No impact,10,,No,,,16.25,73.33,65,43.13
56,18,Miller Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Non-binary,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,2,"$751 - $1,000",Very concerned,3,"$5,001 - $6,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Moderate impact,5,Low,3,45659,Daily,10,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Moderately effective,Yes,Moderate impact,5,Moderately confident,5,"Yes, slightly",7,,"No, but I have considered it",Not effective at all,,36.25,60,60,48.13
57,20,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,No,,I prefer to live alone,,"$751 - $1,000",Not concerned at all,10,"$6,001 - $7,000","Somewhat, I have limited freedom",5,Significant control,7,Never,10,Slight impact,7,Very High,10,0,Several times a week,7,"Yes, definitely",10,Slight reduction,3,"Receiving financial support from family,Working extra hours or multiple jobs",Extremely effective,No,No impact,10,Very confident,7,No impact,10,,No,Not effective at all,,82.5,66.67,85,78.25
58,19,Elliott Village,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$251 - $500,Moderately concerned,5,"$1,001 - $2,000","No, I feel very restricted",0,Little control,3,Often,3,Significant impact,3,Average,5,45720,Once a week,5,"Yes, definitely",10,Moderate reduction,5,"Receiving financial support from family,Working extra hours or multiple jobs,Seeking loans or other financial assistance",Slightly effective,Yes,Moderate impact,5,Very confident,7,No impact,10,,"Yes, from on-campus counseling services",Moderately effective,,38.75,66.67,85,56.38
59,Older than 23 years,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I prefer to live with others,2,"$751 - $1,000",Moderately concerned,5,"$6,001 - $7,000","Somewhat, I have limited freedom",5,Little control,3,Sometimes,5,Slight impact,7,High,7,45720,A few times a month,3,"Yes, definitely",10,Extreme reduction,10,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Very effective,No,No impact,10,Moderately confident,5,"Yes, moderately",3,"Yes, living with others and budgeting accordingly will set me up for success. ",No,,,65,76.67,40,63.5
60,Older than 23 years,Rented house (not University-affiliated),University of Montana,Freshman,In-person student (most classes on campus),12-Jul,Full-time student,Man,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,Yes,Partner/Significant other,I prefer to live with others,More than 5,"More than $2,000",Very concerned,3,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Little control,3,Often,3,Significant impact,3,Low,3,0,Daily,10,"No, I do not feel supported",0,No reduction in stress,0,Budgeting carefully,Slightly effective,Yes,Slight impact,7,Slightly confident,3,"Yes, moderately",3,If i lose the house. I would have to leave the school.,"Yes, from off-campus/private therapy or support services",Slightly effective,,33.75,33.33,30,32.88
61,20,Jesse Hall,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,No,,I prefer to live alone,0,I do not pay rent,Not concerned at all,10,"$4,001 - $5,000","No, I feel very restricted",0,Little control,3,Always,0,Moderate impact,5,Average,5,0,Daily,10,"No, I do not feel supported",0,No reduction in stress,0,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Seeking loans or other financial assistance",Slightly effective,No,No impact,10,Completely confident,10,No impact,0,The dorms are too hot. No temperature control at all. Summer I don't even likw to stay in the dorm because it's a Physical health issue. Fix the fucking temperature control or let us have A/C. ,No,Not effective at all,FIX THE HEATING AND COOLING! IT'S A FUCKING ISSUE FOR HEAT EXHAUSTION!,41.25,33.33,50,40.63
62,21,Elrod Hall,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,"Low (Some concerns about housing, but not overwhelming.)",3,No,,I prefer to live alone,,I do not pay rent,Not concerned at all,10,"$5,001 - $6,000","No, I feel very restricted",0,Little control,3,Never,10,No impact,10,Low,3,45720,Once a week,5,"No, I do not feel supported",0,No reduction in stress,0,"Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Slightly effective,No,No impact,10,Very confident,7,No impact,10,,No,,,61.25,16.67,85,52.63
63,20,Knowles Hall,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,1,I do not pay rent,Slightly concerned,7,"$1 - $1,000","Somewhat, I have limited freedom",5,Little control,3,Rarely,7,Slight impact,7,Average,5,45659,A few times a month,3,"Somewhat, I have some supportive people",5,No reduction in stress,0,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Seeking loans or other financial assistance",Slightly effective,No,No impact,10,Very confident,7,No impact,10,,No,,,63.75,26.67,85,56.88
64,21,Other,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,Very High (Completely satisfied with no housing concerns.),10,Yes,Other (Please specify),I have no strong preference,More than 5,"$1,751 - $2,000",Not concerned at all,10,"$2,001 - $3,000","Yes, I feel fully free to make spending decisions",10,Complete control,10,Never,10,No impact,10,High,7,45720,Daily,10,"Yes, definitely",10,No reduction in stress,0,,,No,No impact,10,Completely confident,10,No impact,10,,No,Not effective at all,,96.25,66.67,100,88.13
65,21,Rented house (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,4,$501 - $750,Moderately concerned,5,"$2,001 - $3,000","Somewhat, I have limited freedom",5,Little control,3,Sometimes,5,Moderate impact,5,Average,5,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Very effective,Yes,Moderate impact,5,Moderately confident,5,No impact,10,,"No, but I have considered it",,,50,50,75,55
66,20,Pantzer Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,2,I do not pay rent,Slightly concerned,7,"$3,001 - $4,000","Somewhat, I have limited freedom",5,Little control,3,Rarely,7,Slight impact,7,Low,3,45720,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships",Very effective,No,,10,Very confident,7,"Yes, slightly",7,,No,,,61.25,66.67,70,64.63
67,19,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,3,"$751 - $1,000",Moderately concerned,5,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Often,3,No impact,10,High,7,45659,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Seeking loans or other financial assistance",Very effective,Yes,Moderate impact,5,Moderately confident,5,No impact,10,,No,Not effective at all,,58.75,90,75,71.38
68,20,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,No Opinion,5,Yes,Roommates,I prefer to live with others,2,$501 - $750,Slightly concerned,7,"$8,001 - $9,000","Somewhat, I have limited freedom",5,Little control,3,Often,3,Moderate impact,5,Low,3,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Slightly effective,Yes,Slight impact,7,Very confident,7,"Yes, moderately",3,I will not have the safety of having supplemental income to fall back on as I am in a more tenative situation further down my academic career.,"No, but I have considered it",Moderately effective,,47.5,56.67,50,50.75
69,Older than 23 years,Rented house (not University-affiliated),Missoula College,Junior,In-person student (most classes on campus),12-Jul,Part-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Other (Please specify),I prefer to live with others,2,$501 - $750,Slightly concerned,7,"$2,001 - $3,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Moderate impact,5,Average,5,45659,Rarely or never,0,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Moderately effective,Yes,Moderate impact,5,Moderately confident,5,No impact,10,,"Yes, from off-campus/private therapy or support services",Slightly effective,,43.75,26.67,75,44.88
70,18,Miller Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,1,I do not pay rent,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Never,10,No impact,10,Low,3,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Slightly effective,Yes,No impact,10,Very confident,7,No impact,10,,No,,,75,50,85,69.5
71,22,Rented house (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I prefer to live with others,4,"$751 - $1,000",Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Complete control,10,Rarely,7,No impact,10,High,7,45659,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family",Very effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,92.5,90,100,93.25
72,20,Rented house (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,3,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,No impact,10,High,7,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,Receiving financial support from family,Extremely effective,No,No impact,10,Very confident,7,No impact,10,,No,Not effective at all,,76.25,90,85,82.13
73,20,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,4,$251 - $500,Not concerned at all,10,"More than $10,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Moderate impact,5,Low,3,45659,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Receiving financial support from family,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Very effective,No,,10,Very confident,7,No impact,10,,No,,,65,66.67,85,69.5
74,20,Knowles Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Non-binary,No Opinion,5,No,Other (Please specify),I prefer to live alone,0,I do not pay rent,Moderately concerned,5,"More than $10,000","Yes, I feel fully free to make spending decisions",10,Complete control,10,Never,10,No impact,10,Very High,10,0,Rarely or never,0,Unsure,5,No reduction in stress,0,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,Significant impact,3,Moderately confident,5,"Yes, slightly",7,,"No, but I have considered it",,No,78.75,16.67,60,56.38
75,19,Rented house (not University-affiliated),University of Montana,Freshman,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,"Family (parents, siblings, relatives)",I prefer to live with others,1,I do not pay rent,Not concerned at all,10,"$4,001 - $5,000","Somewhat, I have limited freedom",5,Little control,3,Rarely,7,Moderate impact,5,High,7,45659,Daily,10,"Yes, definitely",10,Slight reduction,3,"Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Slightly effective,Yes,Slight impact,7,Moderately confident,5,No impact,10,,No,,,63.75,76.67,75,69.88
76,20,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,1,$501 - $750,Extremely concerned,0,"$5,001 - $6,000","No, I feel very restricted",0,Little control,3,Always,0,Significant impact,3,Low,3,0,Rarely or never,0,"Somewhat, I have some supportive people",5,No reduction in stress,0,"Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Slightly effective,Yes,Slight impact,7,Slightly confident,3,"Yes, moderately",3,,"No, but I have considered it",Not effective at all,,23.75,16.67,30,22.88
77,20,Aber Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,No,,I prefer to live with others,1,I do not pay rent,Not concerned at all,10,"$3,001 - $4,000","Yes, I feel fully free to make spending decisions",10,Significant control,7,Never,10,No impact,10,High,7,45659,Daily,10,"Yes, definitely",10,Slight reduction,3,"Receiving financial support from family,Relying on financial aid or scholarships,Seeking loans or other financial assistance",Extremely effective,No,,10,Completely confident,10,"Yes, slightly",7,I have limited worries so I believe it will help me graduate. ,No,,I am an RA so I get free housing. ,88.75,76.67,85,84.38
78,19,Craighead-Sisson Village,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,No Opinion,5,Yes,Partner/Significant other,I prefer to live with others,1,$501 - $750,Moderately concerned,5,"$6,001 - $7,000","Somewhat, I have limited freedom",5,Significant control,7,Often,3,Moderate impact,5,Average,5,45659,Rarely or never,0,"No, I do not feel supported",0,Slight reduction,3,"Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Not effective at all,Yes,Moderate impact,5,Slightly confident,3,"Yes, slightly",7,,No,,,50,10,50,38
79,19,Miller Hall,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,2,I do not pay rent,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","No, I feel very restricted",0,Little control,3,Never,10,No impact,10,Very High,10,45659,Daily,10,"Yes, definitely",10,No reduction in stress,0,"Receiving financial support from family,Relying on financial aid or scholarships",Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,75,66.67,100,77.5
